"date"text
0"January 31, 2007"https://www.federalreserve.gov/newsevents/press/monetary/20070131a.htm
1"March 21, 2007"https://www.federalreserve.gov/newsevents/press/monetary/20070321a.htm
2"May 09, 2007"https://www.federalreserve.gov/newsevents/press/monetary/20070509a.htm
3"June 28, 2007"https://www.federalreserve.gov/newsevents/press/monetary/20070618a.htm
4"August 07, 2007"https://www.federalreserve.gov/newsevents/press/monetary/20070807a.htm
5"August 10, 2007"https://www.federalreserve.gov/newsevents/press/monetary/20070810a.htm
6"August 17, 2007"https://www.federalreserve.gov/newsevents/press/monetary/20070817b.htm
7"September 18, 2007"https://www.federalreserve.gov/newsevents/press/monetary/20070918a.htm
8"October 31, 2007"https://www.federalreserve.gov/newsevents/press/monetary/20071031a.htm
9"December 11, 2007"https://www.federalreserve.gov/newsevents/press/monetary/20071211a.htm
10"January 31, 2006"https://www.federalreserve.gov/newsevents/press/monetary/20060131a.htm
11"March 28, 2006"https://www.federalreserve.gov/newsevents/press/monetary/20060328a.htm
12"May 10, 2006"https://www.federalreserve.gov/newsevents/press/monetary/20060510a.htm
13"June 29, 2006"https://www.federalreserve.gov/newsevents/press/monetary/20060629a.htm
14"August 08, 2006"https://www.federalreserve.gov/newsevents/press/monetary/20060808a.htm
15"September 20, 2006"https://www.federalreserve.gov/newsevents/press/monetary/20060920a.htm
16"October 25, 2006"https://www.federalreserve.gov/newsevents/press/monetary/20061025a.htm
17"December 12, 2006"https://www.federalreserve.gov/newsevents/press/monetary/20061212a.htm
